RhesusEnsembl	d6.d0_logFC	GENE_ID	HUMAN_ID	d6.d0_logCPM	d6.d0_LR	d6.d0_PValue	d6.d0_FDR	entrezgene	ENTREZ_ID	description	X912P0	X1007P0	X1005P0	X903P0	X906P0	X806P0	X440P0	X448P0	X465P0	X493P0	d0	X912P1	X1007P1	X1005P1	X465P1	X493P1	X912P2	X1007P2	X465P2	X493P2	X903P3	X906P3	X806P3	X1005P4	X806P4	X440P5	X448P5	X903P6	X906P6	X440P6	X448P6	Rowmeans
ENSMMUG00000004688	-5.529496491	NCAM1	ENSG00000149294	5.635768288	57.80813543	2.89E-14	4.14E-12	693789	4684	neural cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:7656]	7.587865826	24.59295607	4.057734588	8.204157732	2.994223459	3.017629755	13.17218692	16.76304014	18.89659482	14.98687072	10.68817233	9.808650225	34.807093	6.738477991	17.43317834	12.39717651	13.28026124	19.40496981	19.4066753	15.81867254	5.503101711	4.593068585	3.711769311	4.215469564	2.006896432	0.266985284	1.025725913	0.366643495	0.144837218	0.111577673	0.22787887	9.518078968
ENSMMUG00000004707	-4.917874502	SLAMF9	ENSG00000162723	2.145677931	13.18007107	0.000282942	0.005342998	719554	89886	SLAM family member 9 [Source:HGNC Symbol;Acc:HGNC:18430]	2.121595375	4.797819753	9.736683689	0	2.878779103	2.409808791	0.524231283	11.93831817	2.849886046	12.34217084	2.864332575	3.396757303	4.246999842	20.0256541	11.18838256	12.99099836	4.444733098	7.014047263	9.557876078	12.92502726	3.275335031	7.23493191	3.020478299	3.939833939	3.371113921	0.101607045	0.693977351	0	0.19598559	0	0.346897001	5.252330967
ENSMMUG00000013717	-3.638916802	DNM1	ENSG00000106976	4.077627184	14.00195023	0.000182621	0.003661441	717697	1759	dynamin 1 [Source:HGNC Symbol;Acc:HGNC:2972]	6.243249134	6.446394288	0	3.149554229	3.712197275	2.958061137	13.41596736	12.5672486	7.208535292	13.68936596	6.344821711	3.958965691	8.726328559	2.625377935	5.846777347	8.672004706	9.258578979	5.860285962	4.912730265	10.20159262	3.748719892	2.313623839	3.533321709	1.66979226	1.849592564	0.634956136	6.126531312	0.664356321	0.2041234	0.202178229	0.825830922	5.040874731
ENSMMUG00000030144	-3.170035338	SEPP1	ENSG00000250722	6.169047095	14.46558264	0.000142744	0.002988653	698917	6414	"Macaca mulatta selenoprotein P, plasma, 1 (SEPP1), mRNA. [Source:RefSeq mRNA;Acc:NM_001159490]"	136.3481375	82.34396638	17.84145959	11.88282909	32.46491052	73.82862961	0	36.57508735	45.35180484	45.08333605	40.8292117	151.5936985	82.30805327	21.89921854	59.49713568	49.27449546	171.6814979	106.0070511	64.89008295	39.14687921	6.187736461	27.92754098	74.59905077	50.26510729	163.6320524	6.569569055	32.34831	6.205274007	6.827037619	2.894516681	2.78191514	53.60854613
ENSMMUG00000020184	-2.995491471	CPVL	ENSG00000106066	7.049036898	27.27416684	1.77E-07	7.89E-06	697111	54504	"carboxypeptidase, vitellogenic-like [Source:HGNC Symbol;Acc:HGNC:14399]"	39.96115551	75.68373429	33.53491645	81.2210386	92.39420767	43.8307102	113.0349004	155.7958854	94.26107503	141.1703338	86.80762314	76.05480276	147.1359727	26.63110216	93.96062312	127.9752132	128.8941241	149.7602154	88.46018697	155.2907271	74.53090107	108.9504378	49.31714404	32.68000503	45.43003477	18.10260239	6.887458795	22.51453799	5.223485646	0.978809818	10.32845867	74.66649336
ENSMMUG00000001917	-2.987659975	MATK	ENSG00000007264	3.955146149	20.82931386	5.02E-06	0.000163805	NA	4145	megakaryocyte-associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:6906]	14.3103688	53.87498313	35.88285105	17.40128711	9.102022163	7.619248384	35.1389145	22.2702303	30.18574154	28.14388958	25.20705994	12.88769682	29.1579737	53.30975751	23.8134369	31.5274388	15.59451897	15.35314644	28.57140496	19.61562961	24.53537169	14.74935197	20.94422934	10.87141344	13.72303636	15.67736935	14.04283582	2.56683124	3.594029864	1.933329319	2.632336063	20.30102249
ENSMMUG00000003511	-2.982518689	CLIC5	ENSG00000112782	4.868009805	12.03267599	0.00052276	0.00886387	703565	53405	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F7E2T6]	11.68275871	12.8566127	0	5.656741747	9.208298128	10.7573456	26.74468069	4.604177651	13.67381765	5.04273082	9.982821864	9.627344144	5.158785118	7.892849959	10.67344253	3.667789888	8.951839888	4.391019158	10.97658496	3.035312428	11.20104796	7.424056532	15.20713436	1.160163392	9.366982855	3.85073479	3.596658514	1.528497247	1.499788032	0.453901548	0.842744126	7.357794704
ENSMMUG00000019254	-2.935844826	PLA2G7	ENSG00000146070	4.552191679	10.78657832	0.001022387	0.015310663	704566	7941	Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F6SQ70]	10.71204895	33.03334026	13.39617438	23.16159553	13.77010445	25.75535502	0	19.98665364	33.22775596	10.84571676	16.87837905	29.11056432	64.08814858	6.614799275	38.01703807	15.11514112	29.83335824	60.81008299	51.17334979	14.02090526	13.25665506	17.10978	23.29100507	14.49101884	16.94394904	13.30475378	6.63902319	2.06298279	1.581964797	0	4.977951859	20.21104057
ENSMMUG00000004103	-2.860643112	COL11A1	ENSG00000060718	5.230748326	18.92430185	1.36E-05	0.0003955	712753	1301	"collagen, type XI, alpha 1 [Source:HGNC Symbol;Acc:HGNC:2186]"	0.926285554	10.43898326	10.06033745	5.78458315	4.970353121	11.56733244	31.46040943	7.836148408	4.962885668	5.344040744	6.810365779	1.137543333	4.081723232	9.829815877	5.361401058	5.330425643	0.896301653	3.758305699	5.276546711	3.231927897	4.6350216	2.33371155	3.757779139	4.179479586	3.669105689	12.3768565	5.164594343	1.268755628	0.822610337	0.576407403	1.610927712	5.755019994
ENSMMUG00000017506	-2.831658584	OLFM1	ENSG00000130558	3.84360315	13.15531784	0.000286704	0.005400092	NA	10439	olfactomedin 1 [Source:HGNC Symbol;Acc:HGNC:17187]	1.258993434	4.778372887	4.1291381	4.087298894	0.788455423	14.85025481	12.27602745	14.59117215	8.488394663	12.90675191	6.633383775	2.500240546	7.311486534	1.898561523	9.977770711	10.09715228	2.002732625	6.871429448	11.77993007	14.38747234	3.829782975	3.371578688	72.35713987	6.474376792	46.13608278	2.128894105	9.788616845	1.500860559	1.086971035	0.348902319	0.855090059	9.761997728
ENSMMUG00000006702	-2.723799405	BMPR1B	ENSG00000138696	3.564439366	9.129288077	0.002515496	0.031237458	705474	658	Bone morphogenetic protein receptor type-1B; Uncharacterized protein  [Source:UniProtKB/TrEMBL;Acc:F7HJS7]	2.750296985	2.775679708	19.7658262	6.735449578	9.16002066	13.57839332	0	6.568528914	6.989982578	10.01626609	6.862716078	3.97801125	1.6087593	4.530199933	3.473214087	8.378961196	2.509197202	1.57371066	7.603079223	10.57533283	2.137810579	6.986446497	12.09647126	3.418964555	11.39699819	2.370900667	0.981410931	0.1076328	1.559022062	0.810686909	1.471727459	5.530299388
